ID,User_Reported_Date,Return_Reason_Code,Unit_SN,Power_Adapter,PSU_MFG_WW,Jira_Ticket,Jira_Ticket_Reported,FA_Status,Shipment_Status,CM_Ticket,Root_Cause,Root_Cause_Reason,SW_Related_Issue,SW_JIRA,HW_Related_Issue,NTF,Comments
1,,DAA,GGB21E0A33330AVK,,2333,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,"[EFFA Tracking] Root cause: C405 damaged. Time in field: 50 days. DAA: Soft Reset, Hard Reset, Swap outlets, Swap power cables. Standard TS for power issues was performed"
2,,DAA,GGB21E0A339304JQ,,2339,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,[EFFA Tracking] Root cause: C431 damaged. Time in field: 36 days. No light on the eero device (working before). No other 45 PSU to use. Purchased on Amazon Dec 19 2023. No power outage at time of report
3,,DAA,GGB21E0A348700DX,,2348,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,[EFFA Tracking] Root cause: C407 crack/ C342 burn. Time in field: 23 days.
4,,DAA,GGB21E0A336203BW,,2336,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,[EFFA Tracking] Root cause: C353. Time in field: 124 days. eero would not power on after moving to a new home
5,,DAA,GGB21E0A336206KA,,2336,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,[EFFA Tracking] Root cause: C969. Time in field: 68 days.
6,,DAA,GGB21E0A336209H0,,2336,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,[EFFA Tracking] Root cause: C1032. Time in field: 178 days. Power port on power strip burned out and damaged the PSU. No injuries
7,,DAA,GGB21E0A337707X1,,2337,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,[EFFA Tracking] Root cause: C431. Time in field: 53 days. No observable LED state
8,,DAA,GGB21E0A3393010G,,2339,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,"[EFFA Tracking] Root cause: C1034. Time in field: 878 days. LED indicator off, standard DAA troubleshooting"
9,,DAA,GGB21E0A351704EQ,,2351,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,"[EFFA Tracking] Root cause: C475. Time in field: 828 days. No LED indicators visible, standard DAA troubleshooting"
10,,DAA,GGB21E0A348701A5,,2348,,,Resolved,,,Root Cause Identified,Capacitor Short / Damage,NO,,YES,NO,"[EFFA Tracking] Root cause: C475. Time in field: 96 days. No LED indicators, standard DAA troubleshooting"
11,,Cosmetic issue - Pink BC,GGB21E0A337405CA,,,,,Resolved,,,Root Cause Identified,Material / Chemical,NO,,YES,NO,[EFFA Tracking] Root cause: overoxidation of phenolic antioxidants. Customer report of Jupiter pink bottom case
12,,DAA,GGB21E0A333308VF,,2333,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: Customer Fraud. Time in field: 998 days. eero Dead After Arrival after updating firmware
13,,DAA,GGB21E0A33330409,,2333,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: Customer Fraud. Time in field: 5 days. eero Dead After Arrival after power surge
14,,DAA,GGB21E0A3336069S,,2333,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: Customer Fraud. Time in field: 26 days. Customer reported network offline due to node not powering on with PSU
15,,Thermal reboots,GGB21E0A33620926,,2336,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: Customer placement. Time in field: 978 days.
16,,DAA,GGB21E0A33330AMQ,,2333,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: Customer Fraud. Time in field: 7 days.
17,,Ethernet Port Issue: Poor Throughput,GGB21E0A3333084N,,2333,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: NTF - No SW/HW issue. Time in field: 997 days. New FW release apparently fixed the issue per customer
18,,DOA,GGB21E0A337705XV,,2337,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: NTF - unit online on a different customer account. Time in field: 904 days.
19,,Stuck Flashing White LED,GGB21E0A337707R3,,2337,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: NTF. Time in field: 68 days.
20,,Stuck Flashing White LED,GGB21E0A338702QH,,2338,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: NTF. Time in field: 66 days.
21,,Flashing blue - eero not found,GGB21E0A337707S9,,,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: NTF.
22,,Ethernet Port Issue: Poor Throughput,GGB21E0A34870045,,2348,,,Not Returned,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: NTF - Still online 5.8.2024. Time in field: 874 days.
23,,Ethernet Port Issue (low negotiation speed),GGB21E0A33930246,,2339,,,NTF,,,No Failure Found,,,,,YES,[EFFA Tracking] Root cause: NTF. Time in field: 847 days. Slow negotiated wired speeds
