Unit Serial Number,Source,Reason Code,"Time in Field (Looker, days)",WOM,Device/PSU,Result/Status,Root Cause,Failure Category,Notes
GGB21E0A33330AVK,EFFA Tracking,Dead After Arrival,50,2333,Device,Resolved,C405 damaged,Capacitor Short / Damage,"DAA: Soft Reset, Hard Reset, Swap outlets, Swap power cables. Standard TS for power issues was performed"
GGB21E0A339304JQ,EFFA Tracking,Dead After Arrival,36,2339,Device,Resolved,C431 damaged,Capacitor Short / Damage,"No light on the eero device (working before). No other 45 PSU to use. Purchased on Amazon Dec 19 2023. No power outage at time of report"
GGB21E0A348700DX,EFFA Tracking,Dead After Arrival,23,2348,Device,Resolved,C407 crack/ C342 burn,Capacitor Short / Damage,
GGB21E0A336203BW,EFFA Tracking,Dead After Arrival,124,2336,Device,Resolved,C353,Capacitor Short / Damage,eero would not power on after moving to a new home
GGB21E0A336206KA,EFFA Tracking,Dead After Arrival,68,2336,Device,Resolved,C969,Capacitor Short / Damage,
GGB21E0A336209H0,EFFA Tracking,Dead After Arrival,178,2336,Device,Resolved,C1032,Capacitor Short / Damage,Power port on power strip burned out and damaged the PSU. No injuries
GGB21E0A337707X1,EFFA Tracking,Dead After Arrival,53,2337,Device,Resolved,C431,Capacitor Short / Damage,No observable LED state
GGB21E0A3393010G,EFFA Tracking,Dead After Arrival,878,2339,Device,Resolved,C1034,Capacitor Short / Damage,"LED indicator off, standard DAA troubleshooting"
GGB21E0A351704EQ,EFFA Tracking,Dead After Arrival,828,2351,Device,Resolved,C475,Capacitor Short / Damage,"No LED indicators visible, standard DAA troubleshooting"
GGB21E0A348701A5,EFFA Tracking,Dead After Arrival,96,2348,Device,Resolved,C475,Capacitor Short / Damage,"No LED indicators, standard DAA troubleshooting"
GGB21E0A337405CA,EFFA Tracking,Cosmetic issue - Pink BC,n/a,,Device,Resolved,overoxidation of phenolic antioxidants,Material / Chemical,Customer report of Jupiter pink bottom case
GGB21E0A333308VF,EFFA Tracking,Dead After Arrival,998,2333,Device,NTF,Customer Fraud,No Defect / Customer / Fraud,eero Dead After Arrival after updating firmware
GGB21E0A33330409,EFFA Tracking,Dead After Arrival,5,2333,Device,NTF,Customer Fraud,No Defect / Customer / Fraud,eero Dead After Arrival after power surge
GGB21E0A3336069S,EFFA Tracking,Dead After Arrival,26,2333,Device,NTF,Customer Fraud,No Defect / Customer / Fraud,Customer reported network offline due to node not powering on with PSU
GGB21E0A33620926,EFFA Tracking,Thermal reboots,978,2336,Device,NTF,Customer placement,No Defect / Customer / Fraud,
GGB21E0A33330AMQ,EFFA Tracking,Dead After Arrival,7,2333,Device,NTF,Customer Fraud,No Defect / Customer / Fraud,
GGB21E0A3333084N,EFFA Tracking,Ethernet Port Issue: Poor Throughput,997,2333,Device,NTF,NTF - No SW/HW issue,No Defect / NTF,New FW release apparently fixed the issue per customer
GGB21E0A337705XV,EFFA Tracking,Dead on Arrival,904,2337,Device,NTF,NTF - unit online on a different customer account,No Defect / NTF,
GGB21E0A337707R3,EFFA Tracking,Stuck Flashing White LED,68,2337,Device,NTF,NTF,No Defect / NTF,
GGB21E0A338702QH,EFFA Tracking,Stuck Flashing White LED,66,2338,Device,NTF,NTF,No Defect / NTF,
GGB21E0A337707S9,EFFA Tracking,Flashing blue - eero not found,n/a,,Device,NTF,NTF,No Defect / NTF,
GGB21E0A34870045,EFFA Tracking,Ethernet Port Issue: Poor Throughput,874,2348,Device,Not Returned,NTF - Still online 5.8.2024,No Defect / NTF,
GGB21E0A33930246,EFFA Tracking,Ethernet Port Issue (low negotiation speed),847,2339,Device,NTF,NTF,No Defect / NTF,Slow negotiated wired speeds
GGB21E0A339303NF,EFFA Tracking,Stability issue,205,2339,Device,NTF,NTF,No Defect / NTF,"Intermittent reboots, unstable connection, zyxel G1920-48HP smart switch issue"
GGB21E0A333305TA,EFFA Tracking,Power Issue (PSU Defective),996,2333,PSU,Not Returned,Won't Do,No Defect / Not Analyzed,PSU returned to A.com directly; analyzed unit is the replacement standalone 45W
GGB21E0A336206MS,EFFA Tracking,Dead After Arrival,59,2336,Device,Not Returned,Won't Do,No Defect / Not Analyzed,"Customer reports one Jupiter does not turn on. Tried different socket and known-good PSU, no LED."
GGB21E0A3393008E,EFFA Tracking,Dead After Arrival,862,2339,Device,Lost/Damage,Won't Do,No Defect / Not Analyzed,swapped PSU no LED; swapped outlet no LED; hard reset no LED
GGB21E0A3507062R,EFFA Tracking,Stuck Flashing white LED,n/a,,Device,Not Returned,Won't Do,No Defect / Not Analyzed,Never set up per CX notes
GGB21E0A3387047K,EFFA Tracking,Dead After Arrival,135,2338,Device,Not Returned,Won't Do,No Defect / Not Analyzed,No LED indicators
GGB21E0A33870557,EFFA Tracking,Dead After Arrival,116,2338,Device,Resolved,,Pending Analysis,"No LED, eero not powering up. Customer resistant to troubleshooting"
GGB21E0A3362005H,EFFA Tracking,Dead After Arrival,139,2336,Device,FA in progress,,Pending Analysis,
GGB21E0A3387065X,EFFA Tracking,Dead After Arrival,124,2338,Device,FA in progress,,Pending Analysis,
GGB21E0A3387022K,EFFA Tracking,Ethernet Port Issue - Slow speeds,1,2338,Device,Not Returned,,Pending Analysis,Device speeds slower than expected
GGB21E0A415300QG,EFFA Tracking,Dead After Arrival,n/a,,Device,Not Returned,,Pending Analysis,"No LED indicator visible, TS for DAA. Surge initially"
GGB21E0A4014013B,EFFA Tracking,Unable to update firmware,817,2401,Device,Not Returned,,Pending Analysis,flashing white after sending OTA update
GGB21E0A3402020N,EFFA Tracking,Dead After Arrival,178,2340,Device,FA in progress,,Pending Analysis,No response from LED indicator
GGB21E0A33930576,EFFA Tracking,Dead After Arrival,133,2339,Device,Not Returned,,Pending Analysis,No LED indicator response
GGB21E0A3387033K,EFFA Tracking,Ethernet Port Issue,726,2338,Device,Not Returned,,Pending Analysis,Ports not responding; wired connections fail across ports and cables
GGB21E0A34030051,EFFA Tracking,Ethernet Port Issue,997,2340,Device,Not Returned,,Pending Analysis,Ethernet ports do not negotiate properly with wired devices
GGB21E0A341700K0,EFFA Tracking,Ethernet Port Issue,37,2341,Device,Not Returned,,Pending Analysis,Wired devices failing to connect to Kitchen node. Wifi works
GGB21E0A416302CT,EFFA Tracking,Stuck Flashing Blue,n/a,,Device,Not Returned,,Pending Analysis,Unable to set up
GGB21E0A340204BJ,EFFA Tracking,Dead After arrival,131,2340,Device,Not Returned,,Pending Analysis,
GGB21E0A339304W5,EFFA Tracking,Dead on Arrival,n/a,,,Resolved,SoC failure,SoC / IC Failure,Customer report of US BB Jupiter defective out of box and would not power on
GGB21E0A337709X8,EFFA Tracking,Dead After Arrival,56,2337,Device,Resolved,U12 MPS Buck Convertor IC failure,SoC / IC Failure,Node went offline and did not recover after multiple power cycles
GGB21E0A333308P8,EFFA Tracking,Dead After Arrival,235,2333,Device,Resolved,U21 Marvel Phy,SoC / IC Failure,"No LED visible, abrupt"
GGB21E0A333700NN,EFFA Tracking,Unable to reach internet error,887,2333,Device,Resolved,dhclient fails when system clock is near max uint32,Software / Configuration,Node disconnected from mesh; out of range on re-add; mesh communication problem
