ID,User_Reported_Date,Return_Reason_Code,Unit_SN,Power_Adapter,PSU_MFG_WW,Jira_Ticket,Jira_Ticket_Reported,FA_Status,Shipment_Status,CM_Ticket,Root_Cause,Root_Cause_Reason,SW_Related_Issue,SW_JIRA,HW_Related_Issue,NTF,Comments
1,11/17/24,Stuck flashing blue,GGC3530B44031206,Goldfinch,,EFFA-1295,Done,Done,Delivered,,Root Cause Identified,Cloud registration,YES,CONN-45729 INCIDENT-754,NO,NO,Connectivity issue: CONN-45729 due to QC bug where cloud keys and keys on the board failed the check.
2,11/29/24,Setup Issue,GGC3530B43972718,Goldfinch,,EFFA-1296,Done,Done,Delivered,LUX-10203,Root Cause Identified,Mount Bracket,NO,NA,YES,NO,Force of insertion is being reviewed at Luxshare for a controlled force analysis for the mounting bracket. New fixture is designed.
3,11/22/24,Poor performance,GGC3530B43970202,Goldfinch,,EFFA-1297,Done,Done,Delivered,,No Failure Found,Poor throughput,YES,CONN-47911,NO,,Log analysis and software debug showed no failure found
4,11/26/25,DAA,GGC3530A43564149,PoE switch,,EFFA-1298,Done,Done,Expired,,Won't do,NA,,,,,Unit was never returned
5,11/29/25,DAA,GGC3530B44031164,Goldfinch,,EFFA-1299,Done,NA,N/A,,Won't do,NA,NO,NO,,,Best buy has not returned yet.
6,11/28/24,Stuck flashing white,GGC3530A43560452,Tenda TEG1105p-4,,EFFA-1300,Done,NA,Expired,,Won't do,NA,,,,,Never returned
7,12/12/24,DAA,GGC3530A43565488,TP-Link PoE++ 60W Injector,,EFFA-1301,Done,Done,Delivered,LUX-10289,Root Cause Identified,eMMC corruption,NO,,YES,NO,DAA is due to eMMC firmware corruption (they suspect external ambient temperature cause this) the work around is re-load the firmware.
8,12/13/24,QR code broken,NA,NA,,EFFA-1303,Done,Done,Corrective Action Implemented,,QR code broken,QR code broken,,,,,QR code in the instruction manual for SKUs in canada has broken link
9,12/2/24,DAA,GGC3530A43561401,Goldfinch,,EFFA-1304,Done,Done,Expired,,Won't do,,NO,NO,NO,,Never returned
10,12/16/24,Setup issue,GGC3530A43561190,TP-Link TL-POE160S | PoE+,,EFFA-1305,Done,Done,Delivered,,Root Cause Identified,Cloud registration,YES,CONN-45729 INCIDENT-754,NO,NO,Connectivity issue: CONN-45729 due to QC bug where cloud keys and keys on the board failed the check.
11,12/22/24,DAA,GGC3530B44031979,Goldfinch,,EFFA-1306,Done,Done,Expired,,Root Cause Identified,Liquid ingress,NO,,YES,NO,Failure due to either a lightning strike or liquid ingress due to not locking the m22 seal
12,12/9/24,Poor performance,GGC3530B44030173,Goldfinch,,EFFA-1307,Done,Done,Delivered,,No Failure Found,Poor throughput,NO,NO,YES,,Wireless testing shows device performance similar to KGU
13,12/13/24,Poor performance,GGC3530B44031295,Goldfinch,,EFFA-1308,Done,Done,Delivered,,No Failure Found,Poor throughput,NO,NO,YES,,Wireless testing shows device performance similar to KGU
